latitude;longitude;date;confidence;Fecha_inicio;Fecha_fin
8,17805;-76,41315;2024-09-23;nominal;2024-09-19;2024-10-03
8,17805;-76,41305;2024-09-23;nominal;2024-09-19;2024-10-03
8,17795;-76,41325;2024-09-23;nominal;2024-09-19;2024-10-03
8,17795;-76,41315;2024-09-23;nominal;2024-09-19;2024-10-03
8,17795;-76,41305;2024-09-23;nominal;2024-09-19;2024-10-03
8,17785;-76,41325;2024-09-23;nominal;2024-09-19;2024-10-03
8,17785;-76,41315;2024-09-23;nominal;2024-09-19;2024-10-03
8,17785;-76,41305;2024-09-23;nominal;2024-09-19;2024-10-03
8,16545;-76,41675;2024-09-23;nominal;2024-09-19;2024-10-03
8,16545;-76,41665;2024-09-23;nominal;2024-09-19;2024-10-03
8,16545;-76,41655;2024-09-23;nominal;2024-09-19;2024-10-03
8,16545;-76,41645;2024-09-23;nominal;2024-09-19;2024-10-03
8,16545;-76,41635;2024-09-23;nominal;2024-09-19;2024-10-03
8,16545;-76,41595;2024-09-23;nominal;2024-09-19;2024-10-03
8,16545;-76,41585;2024-09-23;nominal;2024-09-19;2024-10-03
8,16535;-76,41675;2024-09-23;nominal;2024-09-19;2024-10-03
8,16535;-76,41665;2024-09-23;nominal;2024-09-19;2024-10-03
8,16535;-76,41655;2024-09-23;nominal;2024-09-19;2024-10-03
8,16535;-76,41645;2024-09-23;nominal;2024-09-19;2024-10-03
8,16535;-76,41635;2024-09-23;nominal;2024-09-19;2024-10-03
8,16535;-76,41595;2024-09-23;nominal;2024-09-19;2024-10-03
8,16535;-76,41585;2024-09-23;nominal;2024-09-19;2024-10-03
8,15875;-76,49225;2024-09-23;nominal;2024-09-19;2024-10-03
8,15875;-76,49215;2024-09-23;nominal;2024-09-19;2024-10-03
8,15875;-76,49205;2024-09-23;nominal;2024-09-19;2024-10-03
8,15865;-76,49225;2024-09-23;nominal;2024-09-19;2024-10-03
8,15865;-76,49215;2024-09-23;nominal;2024-09-19;2024-10-03
8,15865;-76,49205;2024-09-23;nominal;2024-09-19;2024-10-03
8,15855;-76,49225;2024-09-23;nominal;2024-09-19;2024-10-03
8,15855;-76,49215;2024-09-23;nominal;2024-09-19;2024-10-03
8,15855;-76,49205;2024-09-23;nominal;2024-09-19;2024-10-03
8,15625;-76,40945;2024-09-23;nominal;2024-09-19;2024-10-03
8,15625;-76,40935;2024-09-23;nominal;2024-09-19;2024-10-03
